level,attempted,successful,failed,error_rate,p50,p95,p99,cpu_usage,memory_usage
1,1,1,0,0.0,1381.1,1381.1,1381.1,45.8,54.0
1,1,1,0,0.0,531.9,531.9,531.9,24.8,42.4
2,1,1,0,0.0,816.7,816.7,816.7,43.9,47.7
2,1,1,0,0.0,736.3,736.3,736.3,39.8,41.8
4,1,1,0,0.0,461.3,461.3,461.3,36.0,55.0
4,1,1,0,0.0,604.2,604.2,604.2,26.6,54.2
8,1,1,0,0.0,617.9,617.9,617.9,21.5,40.7
8,1,1,0,0.0,725.2,725.2,725.2,28.6,42.6
16,1,1,0,0.0,597.1,597.1,597.1,35.1,46.5
16,1,1,0,0.0,846.0,846.0,846.0,32.1,49.2
32,1,1,0,0.0,682.8,682.8,682.8,20.8,48.3
32,1,1,0,0.0,790.0,790.0,790.0,32.4,43.5
